점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cps),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250611G,노항우,레이저컷팅용,[911기반] 주모노머 변경 ( BA > BMA ),0.48899999260902405,,,,,,29.969999313354492,,2.50E-03,,312.760009765625,BMA 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt%,4.75시간,83
S250611H,노항우,레이저컷팅용,[911기반] 주모노머 변경 ( BA > EA ),0.4853000044822693,0.45019999146461487,0.6119999885559082,0.9276999831199646,0.014499999582767487,8-9,-14.510000228881836,,2.50E-03,,315.19000244140625,EA 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.15wt%,4.75시간,83
S250612A,이민지,난부착용,[917기반] 911 조성 + IBOA 4.5% + NDM 0%,0.47040000557899475,0.46059998869895935,0.7581999897956848,0.979200005531311,0.01360000018030405,8-9,-50.2400016784668,80.0,3.77E-03,,329.42999267578125,BA 94.2 / IBOA 4.5 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83
S250612B,이민지,난부착용,[917기반] 911 조성 + IBOA 4.5% + 2HEMA 2% + NDM 0%,0.4706999957561493,0.4627000093460083,0.7592999935150146,0.9829999804496765,0.007600000128149986,8-9,-48.709999084472656,80.0,3.77E-03,,329.260009765625,BA 92.2 / IBOA 4.5 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt%,4.75시간,83
S250612C,이민지,난부착용,[917기반] 911 조성 + IBOA 4.5% + 2HEMA 2% + NDM 0.1%,0.46639999747276306,0.4584999978542328,0.753600001335144,0.9830999970436096,0.0032999999821186066,8-9,,120.0,3.77E-03,,332.6099853515625,BA 92.2 / IBOA 4.5 / 2-HEMA 2 / AA 1.3 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt% / NH4OH(P/E) 3.231g,4.75시간,83
S250612G,노항우,바이오모노머적용,[911기반] 주모노머 변경 ( BA > NOAA ),0.484499990940094,0.4390000104904175,0.6735000014305115,0.9060999751091003,0.013299999758601189,8-9,,25.0,2.50E-03,,315.67999267578125,NOAA 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.18wt%,4.75시간,83
S250612H,노항우,바이오모노머적용,[911기반] 주모노머 변경 ( BA > Visvoat #184 ),0.4846000075340271,0.4636000096797943,0.6686999797821045,0.9567000269889832,0.006500000134110451,8-9,,25.0,2.50E-03,,315.6499938964844,Visvoat#184 89.7 / MMA 9 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.17wt%,4.75시간,83
S250616A,이민지,난부착용,[917기반] 911 조성 + NDM 0.1,0.46639999747276306,0.4603999853134155,0.7455000281333923,0.9871000051498413,0.016599999740719795,8-9,-41.91999816894531,100.0,3.77E-03,,332.5799865722656,BA 89.7 / MMA 9 / AA 1.3 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt% / NH4OH(P/E) 3.231g,4.75시간,83
S250616B,이민지,난부착용,[917기반] 911 조성 + MMA 4.5% + NDM 0.1,0.46650001406669617,0.4528999924659729,0.7493000030517578,0.97079998254776,0.0015999999595806003,8-9,-47.45000076293945,50.0,3.77E-03,,332.510009765625,BA 94.2 / MMA 4.5 / AA 1.3 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt% / NH4OH(P/E) 3.231g,4.75시간,83
S250617A,이민지,난부착용,[917기반] 911 조성 + 2-HEMA 2%,0.47189998626708984,0.45019999146461487,0.733299970626831,0.9539999961853027,0.004600000102072954,8-9,-40.34000015258789,80.0,3.77E-03,,328.3800048828125,BA 87.7 / MMA 9 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.18wt%,4.75시간,83
